jis_mesh,unified_genre,restaurant_count,lat,lng,google_avg_rating,google_total_reviews,google_match_count,mesh_code,population,pop_working,pop_adult,pop_elderly,households,single_households,young_single,genre_diversity,genre_hhi,other_genre_count,commercial_density_rank,genre_share,neighbor_avg_restaurants,neighbor_avg_population,working_ratio,elderly_ratio,single_ratio,young_single_ratio,saturation_index,genre_saturation,nearest_station_distance,nearest_station_name,nearest_station_passengers,station_accessibility,land_price,reviews_per_shop,google_place_count,google_density,demand_score,competitor_density,opportunity_score,reason,predicted_log_count,actual_log_count,market_gap,predicted_count,gap_count,gap_std,gap_ci_lower,gap_ci_upper,gap_reliability
5236670212,cafe,2,35.16733342865,136.90517693135,4.199999999999999,2398.0,2,5236670212,38.0,8.0,14.0,6.0,30.0,24.0,0.0,7,0.3216091612135633,162,1.0,0.0121951219512195,51.625,270.11538461538464,0.2051282051282051,0.1538461538461538,0.7741935483870968,0.0,2389.380530973451,29.498525073746315,0.393143920121099,栄,160200.0,324854.4562014684,0.0,1199.0,2,29.498525073746315,0.015995872033023734,29.498525073746315,1.0,カフェの競合が少ない（2店舗）。商圏人口38人。飽和度が高い。栄駅から393m（徒歩圏）,1.8579337885126004,1.0986122886681098,0.7593214998444906,5.410477675485328,3.4104776754853283,0.09418791219037846,0.5747131919513488,0.9439298077376324,high
5236670214,ramen,2,35.1704790251,136.9044031343,4.0,450.0,2,5236670214,29.0,4.0,18.0,14.0,23.0,10.0,0.0,8,0.273253346707303,159,0.9984089101034208,0.0124223602484472,61.125,173.4903846153846,0.1333333333333333,0.4666666666666667,0.4166666666666667,0.0,2376.681614349776,29.895366218236173,0.3342105561906479,栄,160200.0,368945.42916101136,0.0,225.0,10,149.47683109118086,0.011351909184726523,29.895366218236173,0.9489450414985083,ラーメンの競合が少ない（2店舗）。商圏人口29人。飽和度が高い。栄駅から334m（徒歩圏）,1.652947185385938,1.0986122886681098,0.5543348967178283,4.2223483979207765,2.2223483979207765,0.10096368366107542,0.3564460767421205,0.7522237166935362,high
5236579234,ramen,1,35.1664367048,136.9043582851,4.3,363.0,1,5236579234,292.0,108.0,170.0,64.0,209.0,156.0,14.0,8,0.2604496388280172,110,0.9896579156722356,0.009009009009009,35.5,284.5576923076923,0.3686006825938566,0.2184300341296928,0.7428571428571429,0.0666666666666666,1180.2575107296136,10.72961373390558,0.51726318880907,栄,160200.0,259532.7291573718,3790000.0,363.0,4,42.91845493562232,0.14705882352941177,10.729613733905579,0.9308811313956828,ラーメンの競合がほぼなし（1店舗）。商圏人口292人。飽和度が高い。栄駅から517m（徒歩圏）,1.3348704268266494,0.6931471805599453,0.6417232462667041,2.7995036007838547,1.7995036007838547,0.10978041775686197,0.42655362746325465,0.8568928650701535,high
5236670232,chinese,1,35.1710545448,136.9056055089,3.5,14.0,1,5236670232,122.0,47.0,70.0,26.0,85.0,64.0,1.0,7,0.2614449563768258,100,0.9821002386634844,0.0099009900990099,45.875,230.05769230769232,0.3821138211382114,0.2113821138211382,0.7441860465116279,0.0116279069767441,1312.3359580052493,13.123359580052492,0.2502340955983452,栄,160200.0,457408.3506242073,1980000.0,14.0,11,144.35695538057743,0.05933952528379773,13.123359580052492,0.9130417740643445,中華の競合がほぼなし（1店舗）。商圏人口122人。飽和度が高い。栄駅から250m（駅近）,1.245672609303309,0.6931471805599453,0.5525254287433637,2.4752715133523435,1.4752715133523435,0.1236001275053268,0.31026917883292326,0.7947816786538042,high
5236670042,ramen,1,35.1720533584,136.8844839749,3.3,153.0,1,5236670042,24.0,10.0,23.0,13.0,16.0,9.0,0.0,8,0.3285003057035548,106,0.9872712808273668,0.0093457943925233,50.875,273.65625,0.4,0.52,0.5294117647058824,0.0,1596.3855421686746,15.06024096385542,0.1025741571172581,名古屋,287964.0,1421523.8710499222,10260000.0,153.0,13,195.78313253012047,0.008771929824561403,15.06024096385542,0.9040634922993553,ラーメンの競合がほぼなし（1店舗）。商圏人口24人。飽和度が高い。名古屋駅から103m（駅近）,1.2206144313218898,0.6931471805599453,0.5274672507619446,2.3892695673644266,1.3892695673644266,0.09630459308410552,0.33871024831709773,0.7162242532067914,high
5236670212,chinese,3,35.16717716583333,136.903930425,3.8,515.0,2,5236670212,38.0,8.0,14.0,6.0,30.0,24.0,0.0,7,0.3216091612135633,161,0.9992044550517104,0.0182926829268292,51.625,270.11538461538464,0.2051282051282051,0.1538461538461538,0.7741935483870968,0.0,2374.631268436578,44.24778761061947,0.4865758231095051,栄,160200.0,273110.4721479341,0.0,257.5,2,29.498525073746315,0.015995872033023734,44.24778761061947,0.9031399538316258,中華の競合が少ない（3店舗）。商圏人口38人。飽和度が高い。栄駅から487m（徒歩圏）,1.3333995133507859,1.3862943611198906,-0.05289484776910469,2.7939189679985836,-0.20608103200141636,0.12188703756963068,-0.29179344140558083,0.18600374586737142,low
5236670214,chinese,3,35.170024184999995,136.90504411359998,4.1,1063.0,2,5236670214,29.0,4.0,18.0,14.0,23.0,10.0,0.0,8,0.273253346707303,158,0.9976133651551312,0.0186335403726708,61.125,173.4903846153846,0.1333333333333333,0.4666666666666667,0.4166666666666667,0.0,2361.733931240657,44.84304932735426,0.2715223585510696,栄,160200.0,431198.81297259487,0.0,531.5,10,149.47683109118086,0.011351909184726523,44.84304932735426,0.8961534209168903,中華の競合が少ない（3店舗）。商圏人口29人。飽和度が高い。栄駅から272m（駅近）,1.5578746221280726,1.3862943611198906,0.17158026100818202,3.7487176925039183,0.7487176925039183,0.04527491145021149,0.08284143456576751,0.2603190874505965,high
5236670232,ramen,1,35.1727062917,136.9051890961,3.8,360.0,1,5236670232,122.0,47.0,70.0,26.0,85.0,64.0,1.0,7,0.2614449563768258,100,0.9821002386634844,0.0099009900990099,45.875,230.05769230769232,0.3821138211382114,0.2113821138211382,0.7441860465116279,0.0116279069767441,1312.3359580052493,13.123359580052492,0.2950962422315024,久屋大通,41610.0,105316.11175289049,1980000.0,360.0,11,144.35695538057743,0.05933952528379773,13.123359580052492,0.89482820537014,ラーメンの競合がほぼなし（1店舗）。商圏人口122人。飽和度が高い。久屋大通駅から295m（駅近）,1.3396388603461404,0.6931471805599453,0.6464916797861952,2.817664546330115,1.817664546330115,0.1595759006714289,0.3337229144701945,0.9592604451021958,high
5236670024,chinese,1,35.1698814,136.885193992,3.8,345.0,1,5236670024,323.4166666666667,191.58333333333331,253.33333333333331,76.83333333333333,219.58333333333331,159.25,34.416666666666664,7,0.2308924851786572,78,0.9685759745425616,0.0126582278481012,48.125,173.10416666666669,0.5905471358849217,0.2368353454919085,0.7219493766528144,0.1560256894597657,809.6185451085546,10.37972493728916,0.115222175525143,名鉄名古屋,227395.0,1056559.3412721306,12925000.0,345.0,12,124.55669924746994,0.16326969384244927,10.379724937289161,0.8585359482821182,中華の競合がほぼなし（1店舗）。商圏人口323人。飽和度が高い。名鉄名古屋駅から115m（駅近）,1.232591046048096,0.6931471805599453,0.5394438654881507,2.430105593730285,1.4301055937302851,0.12989056466661034,0.28485835874159443,0.7940293722347069,high
5236670214,italian,4,35.17032050125,136.9043980016,3.875,2064.0,4,5236670214,29.0,4.0,18.0,14.0,23.0,10.0,0.0,8,0.273253346707303,157,0.9968178202068416,0.0248447204968944,61.125,173.4903846153846,0.1333333333333333,0.4666666666666667,0.4166666666666667,0.0,2346.78624813154,59.79073243647235,0.3322627169063686,栄,160200.0,370607.9514479629,0.0,516.0,10,149.47683109118086,0.011351909184726523,59.79073243647235,0.8493481905865806,イタリアンは4店舗で中程度の競合。商圏人口29人。飽和度が高い。栄駅から332m（徒歩圏）,1.8366079408992997,1.6094379124341003,0.2271700284651994,5.275216214381019,1.275216214381019,0.16871535189755893,-0.10351206125401607,0.5578521181844149,medium
