jis_mesh,unified_genre,restaurant_count,lat,lng,mesh_code,population,genre_diversity,genre_hhi,other_genre_count,genre_share,neighbor_avg_restaurants,neighbor_avg_population,saturation_index,genre_saturation,nearest_station_distance,nearest_station_name,nearest_station_passengers,land_price,google_avg_rating,google_total_reviews,google_match_count,reviews_per_shop,google_density,demand_score,competitor_density,opportunity_score,reason,predicted_log_count,actual_log_count,market_gap,predicted_count,gap_count
6441425813,sushi,1,43.0456750663,141.3503778287,6441425813,0.0,3,0.375,3,0.25,1.875,0.0,30.0,10.0,0.0092080997154766,中島公園通,1541.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,1.0,6441425813 / sushi opportunity 1.000 / demand low(0.00) / competition medium(10),-0.3624486383058814,-0.37458190208878184,0.012133263782900416,1.0244143408701505,0.024414340870150486
6441427511,sushi,1,43.0602162948,141.3145085929,6441427511,0.0,5,0.2,4,0.2,1.625,0.0,40.0,10.0,0.0143527559819924,西28丁目,16916.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.9403175605831728,6441427511 / sushi opportunity 0.940 / demand low(0.00) / competition medium(10),-0.29194614953132664,-0.3886268684498023,0.09668071891847568,1.203017253210608,0.20301725321060804
6441427833,ramen,1,43.0659559302,141.3501777253,6441427833,0.0,8,0.2352941176470588,33,0.0294117647058823,22.25,0.0,330.0,10.0,0.047084664909265,さっぽろ,124894.0,6600000.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.9205873338847038,6441427833 / ramen opportunity 0.921 / demand low(0.00) / competition medium(10),-0.41722983253775037,-1.2611975036972671,0.8439676711595168,3.651151631943562,2.651151631943562
6441424842,cafe,1,43.0376597077,141.3606201475,6441424842,0.0,3,0.3333333333333333,2,0.3333333333333333,0.75,0.0,20.0,10.0,0.0134726040152652,中の島,10278.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.8649115868237186,6441424842 / cafe opportunity 0.865 / demand low(0.00) / competition medium(10),-0.3705009330169688,-0.38210779698979935,0.011606863972830561,1.0233489699757325,0.023348969975732548
6441520743,chinese,1,43.09067138,141.3453105598,6441520743,0.0,8,0.263671875,31,0.03125,4.75,0.0,310.0,10.0,0.1115554374090332,北24条,23078.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.8501528276352408,6441520743 / chinese opportunity 0.850 / demand low(0.00) / competition medium(10),-0.24685412959798117,-0.36195337887433,0.11509924927634882,1.2439695764488334,0.24396957644883344
6441426734,chinese,1,43.0581537919,141.340755737,6441426734,0.0,7,0.2189349112426035,12,0.0769230769230769,6.875,0.0,120.0,10.0,0.0502854672556729,西11丁目,26454.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.8365539863224557,6441426734 / chinese opportunity 0.837 / demand low(0.00) / competition medium(10),0.12237871741700639,-0.3862234050280927,0.5086021224450991,2.325929896090129,1.3259298960901291
6441426744,sushi,1,43.056375682,141.349480039,6441426744,0.0,8,0.2702029191883233,52,0.0188679245283018,60.625,0.0,520.0,10.0,0.1299640156167176,資生館小学校前,687.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.8315618696818703,6441426744 / sushi opportunity 0.832 / demand low(0.00) / competition medium(10),0.8221200272836479,-0.3327054134614261,1.154825440745074,5.3469388214392675,4.3469388214392675
6441426744,ramen,1,43.0565314998,141.3495836311,6441426744,0.0,8,0.2702029191883233,52,0.0188679245283018,60.625,0.0,520.0,10.0,0.146420984249861,資生館小学校前,687.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.8229029519766483,6441426744 / ramen opportunity 0.823 / demand low(0.00) / competition medium(10),-0.007765697521736507,-0.3271179032693675,0.319352205747631,1.7524719155404247,0.7524719155404247
6441520743,ramen,1,43.091292651,141.3440136974,6441520743,0.0,8,0.263671875,31,0.03125,4.75,0.0,310.0,10.0,0.1715836229590371,北24条,23078.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.8184544269013218,6441520743 / ramen opportunity 0.818 / demand low(0.00) / competition medium(10),-0.20547513319371283,-0.3415724626771671,0.1360973294834543,1.291586815296966,0.29158681529696606
6441423921,sushi,1,43.0270668916,141.3710917686,6441423921,0.0,5,0.3469387755102041,13,0.0714285714285714,1.125,0.0,130.0,10.0,0.0329117894230921,南平岸,12680.0,290000.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.8182420227080593,6441423921 / sushi opportunity 0.818 / demand low(0.00) / competition medium(10),-0.19952592016988663,-0.4119303163149538,0.21240439614506718,1.473295759218157,0.47329575921815703
6441520743,italian,1,43.0911438491,141.3461207339,6441520743,0.0,8,0.263671875,31,0.03125,4.75,0.0,310.0,10.0,0.1927024449637894,北24条,23078.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.8117668740325258,6441520743 / italian opportunity 0.812 / demand low(0.00) / competition medium(10),0.01648073098512936,-0.3344021486402201,0.3508828796253495,1.8406419352931187,0.8406419352931187
6441428721,ramen,1,43.0676764394,141.3466543351,6441428721,0.0,7,0.4375857338820302,26,0.037037037037037,9.25,0.0,260.0,10.0,0.3297896197650106,さっぽろ,124894.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.8050635029885793,6441428721 / ramen opportunity 0.805 / demand low(0.00) / competition medium(10),-0.30315696290925576,-0.3924333892575619,0.08927642634830613,1.1867657087727825,0.18676570877278253
6441428721,chinese,1,43.0676406093,141.3466201738,6441428721,0.0,7,0.4375857338820302,26,0.037037037037037,9.25,0.0,260.0,10.0,0.3305608962374751,さっぽろ,124894.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.8049858337715811,6441428721 / chinese opportunity 0.805 / demand low(0.00) / competition medium(10),-0.27886956238349786,-0.3921715235855262,0.11330196120202835,1.2399401388047284,0.23994013880472842
6441428721,sushi,1,43.0675339513,141.34649047,6441428721,0.0,7,0.4375857338820302,26,0.037037037037037,9.25,0.0,260.0,10.0,0.3353633982092525,さっぽろ,124894.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.804510016509365,6441428721 / sushi opportunity 0.805 / demand low(0.00) / competition medium(10),-0.05296531613780863,-0.39054096638432656,0.3375756502465179,1.8030912633082412,0.8030912633082412
