jis_mesh,unified_genre,restaurant_count,lat,lng,mesh_code,population,pop_working,pop_adult,pop_elderly,households,single_households,young_single,genre_diversity,genre_hhi,other_genre_count,genre_share,neighbor_avg_restaurants,neighbor_avg_population,working_ratio,elderly_ratio,single_ratio,young_single_ratio,saturation_index,genre_saturation,nearest_station_distance,nearest_station_name,nearest_station_passengers,land_price,google_avg_rating,google_total_reviews,google_match_count,reviews_per_shop,google_density,demand_score,competitor_density,opportunity_score,reason
6441429414,italian,1,43.0779552111,141.3047845249,6441429414,1883.0,1180.0,1602.0,479.0,1018.0,498.0,79.0,4,0.4271999999999999,24,0.04,8.0,998.875,0.6263269639065817,0.2542462845010615,0.4887144259077527,0.0775269872423945,95.12485136741977,3.9635354736424895,0.2344534311313608,琴似,24130.0,460000.0,0.0,0.0,0,0.0,0.0,0.9910479199578726,3.9635354736424895,1.0,"イタリアンの競合がほぼなし（1店舗）。商圏人口1,883人。飽和度が高い。琴似駅から234m（駅近）"
6441520741,izakaya,1,43.089581502,141.3449931555,6441520741,1689.0,1218.0,1506.0,331.0,1197.0,879.0,206.0,2,0.5555555555555556,2,0.3333333333333333,8.625,532.125,0.7207100591715976,0.1958579881656804,0.7337228714524207,0.1719532554257095,8.587376556462,4.293688278231,0.0406182501441466,北24条,23078.0,214000.0,0.0,0.0,0,0.0,0.0,0.8888888888888888,4.293688278231,0.9361107652023768,"居酒屋の競合がほぼなし（1店舗）。商圏人口1,689人。北24条駅から41m（駅近）"
6441429423,chinese,1,43.0790187509,141.3065584629,6441429423,1900.0,1044.0,1688.0,690.0,953.0,411.0,34.0,3,0.42,9,0.1,9.375,885.375,0.5491846396633351,0.3629668595476065,0.4308176100628931,0.0356394129979035,35.43307086614173,3.937007874015748,0.2952811056784155,琴似,24130.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.937007874015748,0.9337226094038452,"中華の競合がほぼなし（1店舗）。商圏人口1,900人。飽和度が高い。琴似駅から295m（駅近）"
6441427822,chinese,1,43.0601319391,141.3593994498,6441427822,1847.0,1314.0,1571.0,299.0,1208.0,756.0,123.0,2,0.5,1,0.5,9.5,735.625,0.711038961038961,0.1617965367965368,0.6253101736972705,0.1017369727047146,4.020908725371934,4.020908725371934,0.1535081624665788,バスセンター前,16730.0,890000.0,0.0,0.0,0,0.0,0.0,0.9720905739863086,4.020908725371934,0.891057277603029,"中華の競合がほぼなし（1店舗）。商圏人口1,847人。飽和度が低く参入余地あり。バスセンター前駅から154m（駅近）"
6441424842,cafe,1,43.0376597077,141.3606201475,6441424842,1378.0,857.0,1220.0,392.0,897.0,585.0,87.0,3,0.3333333333333333,2,0.3333333333333333,0.75,381.25,0.621464829586657,0.2842639593908629,0.6514476614699332,0.0968819599109131,9.910802775024775,4.955401387512389,0.0134726040152652,中の島,10278.0,0.0,0.0,0.0,0,0.0,0.0,0.7251184834123223,4.955401387512389,0.8813082909177671,"カフェの競合がほぼなし（1店舗）。商圏人口1,378人。中の島駅から13m（駅近）"
6441427822,cafe,1,43.0590262786,141.3605791303,6441427822,1847.0,1314.0,1571.0,299.0,1208.0,756.0,123.0,2,0.5,1,0.5,9.5,735.625,0.711038961038961,0.1617965367965368,0.6253101736972705,0.1017369727047146,4.020908725371934,4.020908725371934,0.2494171289088325,バスセンター前,16730.0,890000.0,0.0,0.0,0,0.0,0.0,0.9720905739863086,4.020908725371934,0.8702868443436932,"カフェの競合がほぼなし（1店舗）。商圏人口1,847人。飽和度が低く参入余地あり。バスセンター前駅から249m（駅近）"
6441429411,yakiniku,1,43.0757898626,141.3030706484,6441429411,1666.0,1077.0,1430.0,384.0,1137.0,787.0,101.0,3,0.44,4,0.2,6.5,812.0,0.6460707858428314,0.2303539292141571,0.6915641476274165,0.0887521968365553,17.346053772766695,4.336513443191674,0.0718722052048718,琴似,24130.0,0.0,0.0,0.0,0,0.0,0.0,0.8767772511848341,4.336513443191674,0.8702284360640571,"焼肉の競合がほぼなし（1店舗）。商圏人口1,666人。琴似駅から72m（駅近）"
6441429743,other,1,43.082074962,141.3464651431,6441429743,1699.0,1341.0,1391.0,195.0,1423.0,1243.0,643.0,3,0.3333333333333333,2,0.3333333333333333,2.0,641.0,0.7888235294117647,0.1147058823529411,0.8728932584269663,0.4515449438202247,8.550662676357417,4.275331338178709,0.0591564474336972,北18条,11542.0,0.0,0.0,0.0,0,0.0,0.0,0.8941548183254344,4.275331338178709,0.8649215750539321,"その他の競合がほぼなし（1店舗）。商圏人口1,699人。北18条駅から59m（駅近）"
6441426723,ramen,1,43.0521094358,141.3464933521,6441426723,1778.0,1154.0,1364.0,244.0,1473.0,1248.0,277.0,2,0.5555555555555556,2,0.3333333333333333,8.5,763.125,0.6486790331646992,0.1371557054525014,0.8466757123473542,0.1879240162822252,8.271298593879239,4.13564929693962,0.2381468263715124,東本願寺前,888.0,0.0,0.0,0.0,0,0.0,0.0,0.9357556608741444,4.13564929693962,0.856901553211489,"ラーメンの競合がほぼなし（1店舗）。商圏人口1,778人。東本願寺前駅から238m（駅近）"
6441426544,italian,1,43.0574185693,141.3227118936,6441426544,1819.0,1224.0,1443.0,254.0,1228.0,877.0,134.0,3,0.3333333333333333,2,0.3333333333333333,5.375,1150.25,0.6725274725274726,0.1395604395604395,0.7135882831570383,0.1090317331163547,8.13338755591704,4.06669377795852,0.3734906595859401,円山公園,22820.0,0.0,0.0,0.0,0,0.0,0.0,0.957345971563981,4.06669377795852,0.8352835428953244,"イタリアンの競合がほぼなし（1店舗）。商圏人口1,819人。円山公園駅から373m（徒歩圏）"
6441426544,cafe,1,43.0576238205,141.3226629967,6441426544,1819.0,1224.0,1443.0,254.0,1228.0,877.0,134.0,3,0.3333333333333333,2,0.3333333333333333,5.375,1150.25,0.6725274725274726,0.1395604395604395,0.7135882831570383,0.1090317331163547,8.13338755591704,4.06669377795852,0.383234370442392,円山公園,22820.0,0.0,0.0,0.0,0,0.0,0.0,0.957345971563981,4.06669377795852,0.8346939690459525,"カフェの競合がほぼなし（1店舗）。商圏人口1,819人。円山公園駅から383m（徒歩圏）"
