jis_mesh,unified_genre,restaurant_count,lat,lng,google_avg_rating,google_total_reviews,google_match_count,mesh_code,population,pop_working,pop_adult,pop_elderly,households,single_households,young_single,genre_diversity,genre_hhi,other_genre_count,commercial_density_rank,genre_share,neighbor_avg_restaurants,neighbor_avg_population,working_ratio,elderly_ratio,single_ratio,young_single_ratio,saturation_index,genre_saturation,nearest_station_distance,nearest_station_name,nearest_station_passengers,station_accessibility,land_price,reviews_per_shop,google_place_count,google_density,demand_score,competitor_density,opportunity_score,reason
5236670212,cafe,2,35.16733342865,136.90517693135,4.199999999999999,2398.0,2,5236670212,38.0,8.0,14.0,6.0,30.0,24.0,0.0,7,0.3216091612135633,162,1.0,0.012195121951219513,51.625,270.11538461538464,0.20512820512820512,0.15384615384615385,0.7741935483870968,0.0,2389.380530973451,29.498525073746315,0.39314392012109906,栄,160200.0,324854.45620146836,0.0,1199.0,2,29.498525073746315,0.015995872033023734,29.498525073746315,1.0,カフェの競合が少ない（2店舗）。商圏人口38人。飽和度が高い。栄駅から393m（徒歩圏）
5236670214,ramen,2,35.1704790251,136.9044031343,4.0,450.0,2,5236670214,29.0,4.0,18.0,14.0,23.0,10.0,0.0,8,0.273253346707303,159,0.9984089101034208,0.012422360248447204,61.125,173.4903846153846,0.13333333333333333,0.4666666666666667,0.4166666666666667,0.0,2376.681614349776,29.895366218236173,0.3342105561906479,栄,160200.0,368945.42916101136,0.0,225.0,10,149.47683109118086,0.011351909184726523,29.895366218236173,0.9489450414985083,ラーメンの競合が少ない（2店舗）。商圏人口29人。飽和度が高い。栄駅から334m（徒歩圏）
5236579234,ramen,1,35.1664367048,136.9043582851,4.3,363.0,1,5236579234,292.0,108.0,170.0,64.0,209.0,156.0,14.0,8,0.2604496388280172,110,0.9896579156722355,0.009009009009009009,35.5,284.5576923076923,0.36860068259385664,0.21843003412969283,0.7428571428571429,0.06666666666666667,1180.2575107296136,10.729613733905579,0.51726318880907,栄,160200.0,259532.7291573718,3790000.0,363.0,4,42.918454935622314,0.14705882352941177,10.729613733905579,0.9308811313956828,ラーメンの競合がほぼなし（1店舗）。商圏人口292人。飽和度が高い。栄駅から517m（徒歩圏）
5236670232,chinese,1,35.1710545448,136.9056055089,3.5,14.0,1,5236670232,122.0,47.0,70.0,26.0,85.0,64.0,1.0,7,0.2614449563768258,100,0.9821002386634845,0.009900990099009901,45.875,230.05769230769232,0.3821138211382114,0.21138211382113822,0.7441860465116279,0.011627906976744186,1312.3359580052493,13.123359580052492,0.2502340955983452,栄,160200.0,457408.3506242073,1980000.0,14.0,11,144.35695538057743,0.05933952528379773,13.123359580052492,0.9130417740643445,中華の競合がほぼなし（1店舗）。商圏人口122人。飽和度が高い。栄駅から250m（駅近）
5236670042,ramen,1,35.1720533584,136.8844839749,3.3,153.0,1,5236670042,24.0,10.0,23.0,13.0,16.0,9.0,0.0,8,0.3285003057035548,106,0.9872712808273667,0.009345794392523364,50.875,273.65625,0.4,0.52,0.5294117647058824,0.0,1596.3855421686746,15.06024096385542,0.10257415711725816,名古屋,287964.0,1421523.8710499222,10260000.0,153.0,13,195.78313253012047,0.008771929824561403,15.06024096385542,0.9040634922993553,ラーメンの競合がほぼなし（1店舗）。商圏人口24人。飽和度が高い。名古屋駅から103m（駅近）
5236670212,chinese,3,35.16717716583333,136.903930425,3.8,515.0,2,5236670212,38.0,8.0,14.0,6.0,30.0,24.0,0.0,7,0.3216091612135633,161,0.9992044550517104,0.018292682926829267,51.625,270.11538461538464,0.20512820512820512,0.15384615384615385,0.7741935483870968,0.0,2374.631268436578,44.24778761061947,0.4865758231095051,栄,160200.0,273110.4721479341,0.0,257.5,2,29.498525073746315,0.015995872033023734,44.24778761061947,0.9031399538316258,中華の競合が少ない（3店舗）。商圏人口38人。飽和度が高い。栄駅から487m（徒歩圏）
5236670214,chinese,3,35.170024184999995,136.90504411359998,4.1,1063.0,2,5236670214,29.0,4.0,18.0,14.0,23.0,10.0,0.0,8,0.273253346707303,158,0.9976133651551312,0.018633540372670808,61.125,173.4903846153846,0.13333333333333333,0.4666666666666667,0.4166666666666667,0.0,2361.7339312406575,44.84304932735426,0.27152235855106965,栄,160200.0,431198.81297259487,0.0,531.5,10,149.47683109118086,0.011351909184726523,44.84304932735426,0.8961534209168903,中華の競合が少ない（3店舗）。商圏人口29人。飽和度が高い。栄駅から272m（駅近）
5236670232,ramen,1,35.1727062917,136.9051890961,3.8,360.0,1,5236670232,122.0,47.0,70.0,26.0,85.0,64.0,1.0,7,0.2614449563768258,100,0.9821002386634845,0.009900990099009901,45.875,230.05769230769232,0.3821138211382114,0.21138211382113822,0.7441860465116279,0.011627906976744186,1312.3359580052493,13.123359580052492,0.29509624223150244,久屋大通,41610.0,105316.11175289049,1980000.0,360.0,11,144.35695538057743,0.05933952528379773,13.123359580052492,0.89482820537014,ラーメンの競合がほぼなし（1店舗）。商圏人口122人。飽和度が高い。久屋大通駅から295m（駅近）
5236670024,chinese,1,35.1698814,136.885193992,3.8,345.0,1,5236670024,323.4166666666667,191.58333333333334,253.33333333333334,76.83333333333333,219.58333333333334,159.25,34.416666666666664,7,0.23089248517865726,78,0.9685759745425616,0.012658227848101266,48.125,173.10416666666669,0.5905471358849217,0.23683534549190852,0.7219493766528144,0.15602568945976575,809.6185451085546,10.379724937289161,0.11522217552514306,名鉄名古屋,227395.0,1056559.3412721306,12925000.0,345.0,12,124.55669924746994,0.16326969384244927,10.379724937289161,0.8585359482821182,中華の競合がほぼなし（1店舗）。商圏人口323人。飽和度が高い。名鉄名古屋駅から115m（駅近）
5236670214,italian,4,35.17032050125,136.9043980016,3.875,2064.0,4,5236670214,29.0,4.0,18.0,14.0,23.0,10.0,0.0,8,0.273253346707303,157,0.9968178202068417,0.024844720496894408,61.125,173.4903846153846,0.13333333333333333,0.4666666666666667,0.4166666666666667,0.0,2346.7862481315397,59.79073243647235,0.33226271690636866,栄,160200.0,370607.9514479629,0.0,516.0,10,149.47683109118086,0.011351909184726523,59.79073243647235,0.8493481905865806,イタリアンは4店舗で中程度の競合。商圏人口29人。飽和度が高い。栄駅から332m（徒歩圏）
